# Measured spectrum of the Sun from NREL using MODTRAN
# See https://www.nrel.gov/grid/solar-resource/spectra.html, bibref MCebKur
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
2.014706999999999880e+03,5.879999999999999671e-01
2.014747999999999820e+03,6.410000000000000142e-01
2.014789000000000215e+03,5.689999999999999503e-01
2.014828999999999951e+03,4.789999999999999813e-01
2.014869999999999891e+03,4.680000000000000271e-01
2.014910000000000082e+03,4.490000000000000102e-01
2.014951000000000022e+03,4.700000000000000289e-01
2.014991999999999962e+03,6.270000000000000018e-01
2.015031999999999925e+03,7.329999999999999849e-01
2.015072999999999865e+03,7.730000000000000204e-01
2.015113000000000056e+03,8.489999999999999769e-01
2.015153999999999996e+03,9.110000000000000320e-01
2.015194999999999936e+03,8.410000000000000808e-01
2.015235000000000127e+03,8.040000000000000480e-01
2.015276000000000067e+03,7.880000000000000338e-01
2.015316000000000031e+03,8.240000000000000657e-01
2.015356999999999971e+03,8.389999999999999680e-01
2.015398000000000138e+03,8.529999999999999805e-01
2.015438000000000102e+03,8.609999999999999876e-01
2.015479000000000042e+03,8.710000000000001075e-01
2.015519999999999982e+03,8.449999999999999734e-01
2.015560000000000173e+03,7.779999999999999138e-01
2.015601000000000113e+03,7.889999999999999236e-01
2.015641000000000076e+03,8.359999999999999654e-01
2.015681999999999789e+03,8.519999999999999796e-01
2.015723000000000184e+03,8.420000000000000817e-01
2.015762999999999920e+03,9.020000000000000240e-01
2.015804000000000087e+03,8.999999999999999112e-01
2.015844999999999800e+03,8.309999999999999609e-01
2.015885000000000218e+03,7.089999999999999636e-01
2.015925999999999931e+03,6.260000000000000009e-01
2.015965999999999894e+03,5.999999999999999778e-01
2.016006999999999834e+03,5.700000000000000622e-01
2.016048000000000229e+03,4.700000000000000289e-01
2.016087999999999965e+03,4.740000000000000324e-01
2.016128999999999905e+03,4.590000000000000191e-01
2.016169999999999845e+03,3.340000000000000191e-01
2.016210000000000036e+03,3.019999999999999907e-01
2.016250999999999976e+03,3.699999999999999956e-01
2.016291999999999916e+03,3.510000000000000342e-01
2.016331999999999880e+03,2.989999999999999880e-01
2.016373000000000047e+03,3.300000000000000155e-01
2.016413999999999987e+03,3.830000000000000071e-01
2.016453999999999951e+03,4.210000000000000409e-01
2.016494999999999891e+03,4.859999999999999876e-01
2.016536000000000058e+03,5.440000000000000391e-01
2.016576000000000022e+03,5.950000000000000844e-01
2.016616999999999962e+03,5.570000000000000506e-01
2.016657999999999902e+03,5.090000000000000080e-01
2.016698000000000093e+03,5.700000000000000622e-01
2.016739000000000033e+03,6.899999999999999467e-01
2.016779999999999973e+03,7.939999999999999281e-01
2.016819999999999936e+03,9.140000000000000346e-01
2.016861000000000104e+03,1.020000000000000018e+00
2.016902000000000044e+03,9.429999999999999494e-01
2.016942000000000007e+03,8.149999999999999467e-01
2.016982999999999947e+03,7.439999999999999947e-01
2.017024000000000115e+03,6.109999999999999876e-01
2.017064000000000078e+03,4.720000000000000306e-01
2.017105000000000018e+03,4.490000000000000102e-01
2.017145999999999958e+03,4.969999999999999418e-01
2.017186000000000149e+03,5.380000000000000338e-01
2.017227000000000089e+03,6.360000000000000098e-01
2.017268000000000029e+03,7.650000000000000133e-01
2.017308999999999969e+03,8.990000000000000213e-01
2.017349000000000160e+03,9.749999999999999778e-01
2.017390000000000100e+03,9.459999999999999520e-01
2.017431000000000040e+03,8.940000000000000169e-01
2.017471000000000004e+03,8.269999999999999574e-01
2.017512000000000171e+03,7.620000000000000107e-01
2.017553000000000111e+03,6.790000000000000480e-01
2.017592999999999847e+03,5.899999999999999689e-01
2.017634000000000015e+03,5.190000000000000169e-01
2.017675000000000182e+03,4.299999999999999933e-01
2.017716000000000122e+03,3.380000000000000226e-01
2.017755999999999858e+03,3.370000000000000218e-01
2.017797000000000025e+03,4.009999999999999676e-01
2.017838000000000193e+03,4.309999999999999387e-01
2.017878000000000156e+03,5.090000000000000080e-01
2.017918999999999869e+03,5.479999999999999316e-01
2.017960000000000036e+03,4.760000000000000342e-01
2.018000999999999749e+03,3.840000000000000080e-01
2.018041000000000167e+03,3.810000000000000053e-01
2.018081999999999880e+03,4.029999999999999694e-01
2.018123000000000047e+03,4.550000000000000155e-01
2.018163000000000011e+03,5.170000000000000151e-01
2.018204000000000178e+03,5.849999999999999645e-01
2.018244999999999891e+03,6.169999999999999929e-01
2.018286000000000058e+03,6.560000000000000275e-01
2.018326000000000022e+03,6.580000000000000293e-01
2.018367000000000189e+03,6.660000000000000364e-01
2.018407999999999902e+03,6.280000000000000027e-01
2.018449000000000069e+03,6.099999999999999867e-01
2.018488999999999805e+03,5.300000000000000266e-01
2.018530000000000200e+03,5.479999999999999316e-01
2.018570999999999913e+03,6.029999999999999805e-01
2.018612000000000080e+03,6.750000000000000444e-01
2.018651999999999816e+03,6.520000000000000240e-01
2.018693000000000211e+03,6.660000000000000364e-01
2.018733999999999924e+03,6.310000000000000053e-01
2.018775000000000091e+03,6.350000000000000089e-01
2.018814999999999827e+03,6.440000000000000169e-01
2.018856000000000222e+03,7.309999999999999831e-01
2.018896999999999935e+03,8.070000000000000506e-01
2.018938000000000102e+03,7.960000000000000409e-01
2.018977999999999838e+03,7.439999999999999947e-01
2.019019000000000233e+03,7.520000000000000018e-01
2.019059999999999945e+03,7.060000000000000719e-01
2.019101000000000113e+03,6.810000000000000497e-01
2.019140999999999849e+03,7.530000000000000027e-01
2.019182000000000244e+03,8.250000000000000666e-01
2.019222999999999956e+03,8.619999999999998774e-01
2.019264000000000124e+03,9.270000000000000462e-01
2.019304999999999836e+03,8.909999999999999032e-01
2.019345000000000255e+03,7.329999999999999849e-01
2.019385999999999967e+03,6.320000000000000062e-01
2.019427000000000135e+03,5.260000000000000231e-01
2.019467999999999847e+03,4.610000000000000209e-01
2.019507999999999811e+03,4.819999999999999840e-01
2.019548999999999978e+03,5.309999999999999165e-01
2.019590000000000146e+03,5.180000000000000160e-01
2.019630999999999858e+03,4.769999999999999796e-01
