# Measured spectrum of Vega from The Astronomical Journal, 127:3508-3515, 2004 June by R. C. Bohlin and R. L. Gilliland
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
1.164923000000000002e+03,1.003933299999999983e-10
1.166090999999999894e+03,9.303590500000000392e-11
1.167259999999999991e+03,7.823401600000000243e-11
1.168430000000000064e+03,6.716622400000000366e-11
1.169601000000000113e+03,5.923919000000000458e-11
1.170773999999999887e+03,5.161277699999999718e-11
1.171948000000000093e+03,5.154157300000000059e-11
1.173123000000000047e+03,5.174726600000000081e-11
1.174298999999999978e+03,4.712711499999999836e-11
1.175476000000000113e+03,4.166046299999999727e-11
1.176653999999999996e+03,3.778397000000000182e-11
1.177834000000000060e+03,3.524446699999999945e-11
1.179015000000000100e+03,3.079045400000000143e-11
1.180196999999999889e+03,2.464343799999999910e-11
1.181380000000000109e+03,2.105174700000000134e-11
1.182564000000000078e+03,1.919261099999999870e-11
1.183750000000000000e+03,1.677177799999999950e-11
1.184935999999999922e+03,1.497593200000000033e-11
1.186124000000000024e+03,1.381298400000000067e-11
1.187313000000000102e+03,1.236523099999999998e-11
1.188503999999999905e+03,9.960221000000000317e-12
1.189694999999999936e+03,7.849507999999999393e-12
1.190887999999999920e+03,7.669924999999999754e-12
1.192082000000000107e+03,7.418346999999999268e-12
1.193277000000000044e+03,5.617754500000000143e-12
1.194472999999999956e+03,5.386746999999999726e-12
1.195670000000000073e+03,6.946047999999999929e-12
1.196868999999999915e+03,7.296514999999999631e-12
1.198068999999999960e+03,7.085285499999999819e-12
1.199269999999999982e+03,6.836082000000000032e-12
1.200471999999999980e+03,6.569473999999999761e-12
1.201675999999999931e+03,6.746685200000000261e-12
1.202880000000000109e+03,6.714249400000000049e-12
1.204086000000000013e+03,6.280714699999999687e-12
1.205292999999999893e+03,5.716645000000000225e-12
1.206501999999999953e+03,5.122512699999999691e-12
1.207711000000000013e+03,4.522842000000000086e-12
1.208922000000000025e+03,3.851971299999999735e-12
1.210134000000000015e+03,3.102779000000000061e-12
1.211346999999999980e+03,2.296626000000000195e-12
1.212560999999999922e+03,1.477024100000000045e-12
1.213777000000000044e+03,7.557584699999999879e-13
1.214993999999999915e+03,3.003889000000000167e-13
1.216211999999999989e+03,2.836170999999999992e-13
1.217431000000000040e+03,7.333697499999999912e-13
1.218652000000000044e+03,1.503131099999999906e-12
1.219873000000000047e+03,2.422414500000000149e-12
1.221096000000000004e+03,3.386000500000000199e-12
1.222319999999999936e+03,4.328226600000000083e-12
1.223546000000000049e+03,5.197668999999999832e-12
1.224771999999999935e+03,6.022809000000000090e-12
1.226000000000000000e+03,6.840828700000000101e-12
1.227229000000000042e+03,7.597932000000000062e-12
1.228460000000000036e+03,8.346333000000000157e-12
1.229691000000000031e+03,9.145366000000000757e-12
1.230923999999999978e+03,9.960221000000000317e-12
1.232157999999999902e+03,1.079881000000000051e-11
1.233393000000000029e+03,1.153455399999999985e-11
1.234630000000000109e+03,1.241269800000000067e-11
1.235866999999999962e+03,1.333830999999999954e-11
1.237105999999999995e+03,1.428765699999999961e-11
1.238346000000000004e+03,1.521326800000000113e-11
1.239587999999999965e+03,1.626546099999999941e-11
1.240830999999999904e+03,1.785561499999999894e-11
1.242074000000000069e+03,1.930336799999999962e-11
1.243319999999999936e+03,2.132863899999999850e-11
1.244566000000000031e+03,2.533962600000000046e-11
1.245814000000000078e+03,3.005471200000000164e-11
1.247063000000000102e+03,3.659728799999999991e-11
1.248313000000000102e+03,4.799734999999999763e-11
1.249564000000000078e+03,6.384351399999999550e-11
1.250817000000000007e+03,8.828917499999999513e-11
1.252070999999999913e+03,1.298230600000000060e-10
1.253326000000000022e+03,1.765783499999999903e-10
1.254583000000000084e+03,2.316404199999999978e-10
1.255839999999999918e+03,2.892340499999999914e-10
1.257200000000000045e+03,2.977960399999999840e-10
1.258400000000000091e+03,3.042383600000000107e-10
1.259500000000000000e+03,2.924703000000000173e-10
1.260700000000000045e+03,3.313513600000000079e-10
1.261900000000000091e+03,5.340624999999999846e-10
1.263099999999999909e+03,5.730611000000000240e-10
1.264299999999999955e+03,5.331515000000000278e-10
1.265400000000000091e+03,6.302789399999999506e-10
1.266599999999999909e+03,7.334620699999999861e-10
1.267799999999999955e+03,1.003517900000000018e-09
1.269000000000000000e+03,1.191489899999999955e-09
1.270200000000000045e+03,1.174189400000000073e-09
1.271299999999999955e+03,1.227656600000000031e-09
1.272500000000000000e+03,1.177937700000000061e-09
1.273700000000000045e+03,1.065537799999999943e-09
1.274900000000000091e+03,1.024932799999999958e-09
1.276099999999999909e+03,1.107639499999999957e-09
1.277200000000000045e+03,1.299479499999999990e-09
1.278400000000000091e+03,1.502390999999999925e-09
1.279599999999999909e+03,1.750759300000000047e-09
